180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
180	180	180	180	180	180	180	180	180	180	180	180	180
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
100	180	220	150	100	200	250	300	260	250	240	210	140
180	180	180	180	180	180	180	180	180	180	180	180	180	
36	36	36	36	36	36	36	36	36	36	36	36	36
50	50	50	50	50	50	50	50	50	50	50	50	50
100	100	100	100	100	100	100	100	100	100	100	100	100
107	107	107	107	107	107	107	107	107	107	107	107	107
113	113	113	113	113	113	113	113	113	113	113	113	113
0	2	2	2	2	2	2	2	2	2	2	2	2
0	2	2	2	2	2	2	2	2	2	2	2	2
0	2	2	2	2	2	2	2	2	2	2	2	2
100	102	104	106	108	110	112	114	116	118	120	122	124	
107	109	111	113	115	117	119	121	123	125	127	129	131	
113	115	117	119	121	123	125	127	129	131	133	135	137	
0	100	102	104	106	108	110	112	114	116	118	120	122	
0	107	109	111	113	115	117	119	121	123	125	127	129	
0	113	115	117	119	121	123	125	127	129	131	133	135	
0	0	100	102	104	106	108	110	112	114	116	118	120	
0	0	107	109	111	113	115	117	119	121	123	125	127	
0	0	113	115	117	119	121	123	125	127	129	131	133	
0	0	0	100	102	104	106	108	110	112	114	116	118	
0	0	0	107	109	111	113	115	117	119	121	123	125	
0	0	0	113	115	117	119	121	123	125	127	129	131	
0	0	0	0	100	102	104	106	108	110	112	114	116	
0	0	0	0	107	109	111	113	115	117	119	121	123	
0	0	0	0	113	115	117	119	121	123	125	127	129	
0	0	0	0	0	100	102	104	106	108	110	112	114	
0	0	0	0	0	107	109	111	113	115	117	119	121	
0	0	0	0	0	113	115	117	119	121	123	125	127	
0	0	0	0	0	0	100	102	104	106	108	110	112	
0	0	0	0	0	0	107	109	111	113	115	117	119	
0	0	0	0	0	0	113	115	117	119	121	123	125	
0	0	0	0	0	0	0	100	102	104	106	108	110	
0	0	0	0	0	0	0	107	109	111	113	115	117	
0	0	0	0	0	0	0	113	115	117	119	121	123	
0	0	0	0	0	0	0	0	100	102	104	106	108	
0	0	0	0	0	0	0	0	107	109	111	113	115	
0	0	0	0	0	0	0	0	113	115	117	119	121	
0	0	0	0	0	0	0	0	0	100	102	104	106	
0	0	0	0	0	0	0	0	0	107	109	111	113	
0	0	0	0	0	0	0	0	0	113	115	117	119	
0	0	0	0	0	0	0	0	0	0	100	102	104	
0	0	0	0	0	0	0	0	0	0	107	109	111	
0	0	0	0	0	0	0	0	0	0	113	115	117	
0	0	0	0	0	0	0	0	0	0	0	100	102	
0	0	0	0	0	0	0	0	0	0	0	107	109	
0	0	0	0	0	0	0	0	0	0	0	113	115	
0	0	0	0	0	0	0	0	0	0	0	0	100
0	0	0	0	0	0	0	0	0	0	0	0	107
0	0	0	0	0	0	0	0	0	0	0	0	113



